source_row,date,time,x,y,z,energy_j,local_x,local_y
119,43943.0,0.9630555555555556,384055.0,4352955.0,687.0,302.07539565821065,5055.0,7255.0
120,43943.0,0.9697569444444445,383783.0,4352827.0,693.0,27.17536062016219,4783.0,7127.0
121,43943.0,0.9720717592592593,384071.0,4352422.0,692.0,108.81328243541171,5071.0,6722.0
122,43944.0,0.006168981481481482,384298.0,4352758.0,688.0,30.946767770290535,5298.0,7058.0
123,43944.0,0.0929050925925926,383785.0,4352855.0,735.0,12.889723361241083,4785.0,7155.0
124,43944.0,0.23109953703703703,383900.0,4352829.0,683.0,23.21026237550342,4900.0,7129.0
125,43944.0,0.2545601851851852,383872.0,4352940.0,687.0,6.286786948018984,4872.0,7240.0
126,43944.0,0.41453703703703704,383899.0,4352947.0,730.0,11.378887330974521,4899.0,7247.0
127,43944.0,0.4958564814814815,383976.0,4353004.0,683.0,22.67715740003088,4976.0,7304.0
128,43944.0,0.5241435185185185,383819.0,4352912.0,694.0,18.63611445270006,4819.0,7212.0
129,43944.0,0.5192245370370371,383927.0,4352869.0,693.0,25.402287654566265,4927.0,7169.0
130,43944.0,0.5510648148148148,383856.0,4352982.0,691.0,13.28658493776439,4856.0,7282.0
131,43944.0,0.6034027777777777,384065.0,4353016.0,686.0,6.296010074426585,5065.0,7316.0
132,43945.0,0.012662037037037038,384012.0,4353016.0,692.0,17.021279503557682,5012.0,7316.0
133,43945.0,0.03068287037037037,383939.0,4352850.0,686.0,52.99914126544677,4939.0,7150.0
134,43945.0,0.13650462962962964,384015.0,4353042.0,690.0,34.64780196775229,5015.0,7342.0
135,43945.0,0.20802083333333332,383993.0,4353172.0,688.0,59.359557966960814,4993.0,7472.0
136,43945.0,0.2525810185185185,384008.0,4352948.0,689.0,17.887800892682435,5008.0,7248.0
137,43945.0,0.3766203703703704,384106.0,4352977.0,691.0,6.960944380952096,5106.0,7277.0
138,43945.0,0.38861111111111113,383881.0,4352896.0,691.0,12.266323130572932,4881.0,7196.0
139,43945.0,0.9996643518518519,384224.0,4352930.0,690.0,3.0145675317750866,5224.0,7230.0
140,43946.0,0.34422453703703704,384214.0,4352744.0,689.0,2.894882166229687,5214.0,7044.0
141,43946.0,0.5480555555555555,384172.0,4352927.0,688.0,2.6830546811347173,5172.0,7227.0
142,43947.0,0.03662037037037037,384009.0,4352947.0,690.0,3.2342063264406047,5009.0,7247.0
143,43947.0,0.4996643518518519,384162.0,4352931.0,691.0,2.9374467079404605,5162.0,7231.0
144,43947.0,0.5641203703703703,384062.0,4352810.0,684.0,3.2250199111329754,5062.0,7110.0
145,43948.0,0.371400462962963,384150.0,4352876.0,689.0,5.785283523891206,5150.0,7176.0
146,43948.0,0.38501157407407405,384114.0,4352842.0,683.0,11.166747366206824,5114.0,7142.0
147,43948.0,0.5846296296296296,384174.0,4352957.0,691.0,5.286774524150519,5174.0,7257.0
148,43948.0,0.5945833333333334,383940.0,4352967.0,687.0,8.427254142308277,4940.0,7267.0
